"","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid grassland","Fen, Marsh and Swamp","Freshwater","Mountain_Heath_Bog","UrbanSuburban","MEM1","MEM2","MEM3","MEM4","MEM5","MEM6","MEM7","MEM8","MEM9","MEM10"
"SE17",3.33,2.83,0.52,21.82,0,5.76,4.05,0,0.97,60.68,0.09,-0.223710420246058,-3.74746291533081e-05,-0.0768273938041729,-0.31711596448964,0.136050153290625,-0.259962198612253,-0.225496078670031,0.20570140101633,0.298481296539628,-0.240071841754649
"SE18",6.09,1.87,19.02,42.79,0.03,4.83,0.44,0,0.18,24.03,0.85,-0.143668107798406,-2.31913623402452e-05,-0.0427373835515216,-0.159133992061742,0.0683075604314661,-0.130410871496984,-0.11312811077943,0.103226396109617,0.149776740172082,-0.120528296703611
"SE20",12.73,1.24,14.09,57.77,0.23,0,4.88,0,0.97,2.01,6.22,-0.322718617346104,-5.7673146936599e-05,-0.189687457142942,-0.66889116382325,-1.11493349351514,-0.3574140456494,1.39444564996887,0.0370592634619664,-1.32111799965588,-0.462887255787772
"SE21",12.18,0.28,24.88,48.32,0.1,0,0,0.21,0.57,0.39,13.16,-0.32138658967975,-5.81317375513875e-05,-0.181286688112809,-0.605758391830698,-1.01058104788367,-0.324055638636027,1.26555893209742,0.0337190892406582,-1.198994090399,-0.421224295237502
"SE22",5.31,0,24.4,22.83,0.69,0,0,0.03,0.32,1.43,45.1,-0.318994323478,-5.79191469025064e-05,-0.171400556694914,-0.538851655120997,-0.899463204361432,-0.288489670175202,1.12772754114078,0.0301201362950121,-1.06838355688754,-0.376228649913824
"SE23",16.08,0.1,5.76,28.27,1.23,0,0,0.07,0.16,0.35,48.08,-0.31469916373166,-5.69851736021617e-05,-0.159517796100118,-0.468563199834273,-0.782333524620121,-0.250963563302841,0.981919896162262,0.0262878070300606,-0.93021029541779,-0.328251302811653
"SE24",9.05,0.48,11.98,67.29,0,0.02,0.14,0,1.45,0.37,9.33,-0.306988574296066,-5.51095637109834e-05,-0.145023971724874,-0.395305350054796,-0.659986765610882,-0.211738513872183,0.82916099443047,0.0222491655310872,-0.785452206631012,-0.277666676797646
"SE25",5.21,2.59,4.46,75.49,0.02,0.03,2.22,0.64,0.35,1.26,7.82,-0.293147680881597,-5.18500938283222e-05,-0.127169733273611,-0.319508098467505,-0.533253502888632,-0.171087677711728,0.670525227443425,0.0180327471020036,-0.635134294915385,-0.224869720697997
"SE26",10.34,2.79,13.89,67.93,0.01,0.16,0.04,0,0.28,3.24,1.51,-0.268303560563613,-4.64383309857133e-05,-0.105032097731903,-0.24161659060048,-0.402994505548719,-0.129294272777064,0.507128842772128,0.0136683572274709,-0.480321427809262,-0.170272832621401
"SE27",11.99,1.43,36.23,45.21,0,0.25,0.29,0.06,0.66,2.06,2.13,-0.223709847281458,-3.75984989671304e-05,-0.0774667632424707,-0.162088517327672,-0.270094900782161,-0.0866496094526583,0.34012210448819,0.00918686137129663,-0.322110806434567,-0.114302644432298
"SE28",5.93,0.15,59.73,29.98,0.03,0,0,0,0.1,0.51,3.72,-0.143667800763088,-2.32467559205551e-05,-0.0430489907613892,-0.0813914308691081,-0.13545816753831,-0.043451062678419,0.170681207133678,0.00461996709040566,-0.16162420010547,-0.0573966924038648
"SE30",11.55,0.42,32.65,22.95,0.5,0,0,0.07,0.53,1.31,30.24,-0.32271704429711,-6.26720157948429e-05,-0.189682869399928,0.653300750705558,-0.511873611255115,1.40989315839245,-0.481143788457777,-0.776752101129733,1.34970419339308,0.221646578854565
"SE31",7.96,0.57,51.76,13.42,1.34,0,0,0.04,2.35,1.61,21.12,-0.321385010482004,-6.12212018621373e-05,-0.181282256755414,0.589854133166214,-0.463733736347778,1.27935558117556,-0.436457735285035,-0.704849771186866,1.2250097959595,0.201433326788351
"SE32",4.44,0,44,6.57,4.47,0,0,2.19,3.01,2.82,32.6,-0.318992752826853,-5.98276149219288e-05,-0.171396373621866,0.523158848693362,-0.41254438169027,1.13985401171852,-0.388737892329626,-0.627985273740539,1.09162814465128,0.179688427917033
"SE33",6.58,0.07,27.9,14.6,4.59,0,0,0.67,0.61,1.32,43.99,-0.314697624921555,-5.81626457247535e-05,-0.159513953669638,0.453605823128855,-0.358652620833959,0.99235870400157,-0.338319475413019,-0.546701046417935,0.950502536663366,0.15658147115849
"SE34",10.49,0.01,37.65,45.34,0.17,0.12,0,0.01,0.7,0.1,5.53,-0.306987103231053,-5.58337157858797e-05,-0.14502056313543,0.381602970374554,-0.302424040723299,0.837896039459387,-0.285556837530615,-0.461571009291967,0.80263154393308,0.132292752596972
"SE35",6.62,0.11,43.49,33.87,0.14,0.03,0,0,0.7,0.03,15.09,-0.293146330931169,-5.22917350319939e-05,-0.127166851575839,0.307572807008059,-0.244240268488437,0.677541405552834,-0.230820985328739,-0.373196524100812,0.649061967664635,0.107011872182788
"SE36",3.5,0,64.23,27.92,0.38,0,0,0.35,0.65,0.02,3.1,-0.268302406997119,-4.67016673842421e-05,-0.10502983306075,0.23194997862114,-0.184496387019547,0.512411726499303,-0.174496976186032,-0.282202155897757,0.490881444951215,0.0809362566298326
"SE37",3.07,0.12,74.08,17.12,0,0,0,0,0.09,0,5.59,-0.223708987403649,-3.77456940209585e-05,-0.0774651976612357,0.155178712329961,-0.123598256787148,0.343657697923338,-0.116981214121138,-0.189231266937306,0.329210759597267,0.0542696199962076
"SE38",2.24,0.15,71.56,22.06,0,0,0,0,0.02,0,4.06,-0.143667339861314,-2.33125767247482e-05,-0.04304818985251,0.0777102103627311,-0.0619597620336652,0.172455779322106,-0.0586786634850487,-0.0949414738292658,0.165195911408522,0.027220373933782
"SE40",6.57,0.06,59.92,9.04,0.44,0.12,0,0.09,1.07,2.1,20.77,-0.322714992577089,-6.68768658155564e-05,-0.184511247089924,1.04941520401295,1.22749458177942,-0.198143457946717,-0.671870915065285,1.28728895254862,-1.15429531363566,0.915312094808078
"SE41",3.17,0.03,73.28,6.16,1.63,0,0.01,0.08,0.26,1.01,14.45,-0.321382929704667,-6.38198433050421e-05,-0.177199828374865,0.948038819224783,1.11347960565374,-0.179552469059041,-0.609529150998145,1.16834721653424,-1.04757392464241,0.832388576468348
