Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
0.001,0.8,5,0.001,0,B,330,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0,B,331,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0,B,332,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0,B,333,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0,B,334,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0,B,335,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0,B,336,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0,B,337,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0,B,338,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0,B,339,TrialObsQual,50,0.1,0.01
